
2024/07/28 (17:07:20) | ===> btop++ v.1.3.2
2024/07/28 (17:07:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/28 (17:07:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/28 (17:07:41) | ===> btop++ v.1.3.2
2024/07/28 (17:07:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/28 (17:07:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/28 (17:07:52) | ===> btop++ v.1.3.2
2024/07/28 (17:07:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/28 (17:07:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/28 (19:12:43) | ===> btop++ v.1.3.2
2024/07/28 (19:12:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/28 (19:12:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/07 (10:20:53) | ===> btop++ v.1.3.2
2024/08/07 (10:20:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/07 (10:20:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/07 (10:35:27) | ===> btop++ v.1.3.2
2024/08/07 (10:35:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/07 (10:35:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/07 (10:39:34) | ===> btop++ v.1.3.2
2024/08/07 (10:39:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/07 (10:39:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/07 (16:38:27) | ===> btop++ v.1.3.2
2024/08/07 (16:38:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/07 (16:38:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/13 (20:16:44) | ===> btop++ v.1.3.2
2024/08/13 (20:16:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/13 (20:16:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/14 (00:30:14) | ===> btop++ v.1.3.2
2024/08/14 (00:30:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/14 (00:30:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/14 (17:18:26) | ===> btop++ v.1.3.2
2024/08/14 (17:18:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/14 (17:18:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/23 (23:57:45) | ===> btop++ v.1.3.2
2024/08/23 (23:57:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/23 (23:57:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (03:17:29) | ===> btop++ v.1.3.2
2024/09/02 (03:17:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (03:17:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (03:32:19) | ===> btop++ v.1.3.2
2024/09/02 (03:32:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (03:32:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (13:05:13) | ===> btop++ v.1.3.2
2024/09/02 (13:05:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (13:05:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (13:12:08) | ===> btop++ v.1.3.2
2024/09/02 (13:12:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (13:12:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (13:45:47) | ===> btop++ v.1.3.2
2024/09/02 (13:45:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (13:45:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (14:09:16) | ===> btop++ v.1.3.2
2024/09/02 (14:09:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (14:09:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/02 (18:16:38) | ===> btop++ v.1.3.2
2024/09/02 (18:16:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/02 (18:16:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/03 (00:57:57) | ===> btop++ v.1.3.2
2024/09/03 (00:57:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/03 (00:57:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
